Layer,Name,GEOID,Longitude,Latitude,PMH_2023,PMH_2023_se,SES_2023,SES_2023_se,CHACFZN_2023,CHACFZN_2023_se
,,,,,"Self-reported poor mental health (% of adults), 2023",(Standard error),"Lacking social and emotional support (% of residents), 2023",(Standard error),"Child Opportunity Index 3.0, 2023",(Standard error)
Zip code,60636,60636,-87.66906400,41.77573900,20.4,0.943877551020408,37.2,1.6326530612244894,8.003520021473683,
Zip code,60637,60637,-87.59987600,41.78162100,19.5,0.918367346938776,32.8,1.530612244897959,22.637146353037735,
Zip code,60638,60638,-87.77052100,41.78143000,14.9,0.7142857142857145,26.7,1.326530612244898,32.516119193892855,
Zip code,60639,60639,-87.75605400,41.92055300,16.8,0.8163265306122447,31.6,1.5306122448979602,23.9262301387641,
Zip code,60640,60640,-87.66260400,41.97287200,14.9,0.7142857142857145,24.2,1.2755102040816326,56.95467494923684,
Zip code,60641,60641,-87.74678700,41.94660600,15.1,0.739795918367347,26.5,1.3520408163265307,38.65345981387272,
Zip code,60642,60642,-87.65854400,41.90204200,14.6,0.8163265306122447,22.2,1.2499999999999996,73.60558972343479,
Zip code,60643,60643,-87.66326700,41.70027300,14.9,0.7142857142857145,29.7,1.479591836734694,39.03417644182927,
Zip code,60644,60644,-87.75637300,41.88008400,20.6,0.943877551020408,37.2,1.6836734693877555,8.0255069355625,
Zip code,60645,60645,-87.69473500,42.00855800,15.2,0.7653061224489796,27.5,1.403061224489796,39.728710783222226,
Zip code,60646,60646,-87.75962700,41.99301900,12.4,0.6632653061224489,21.9,1.2244897959183667,58.82121358973333,
Zip code,60647,60647,-87.70102800,41.92121500,15.3,0.7397959183673466,24.0,1.3010204081632657,52.2254754321828,
Zip code,60649,60649,-87.56587900,41.76342000,19.1,0.8928571428571429,34.7,1.6071428571428563,12.912863625435897,
Zip code,60651,60651,-87.74085700,41.90209300,18.6,0.8673469387755107,33.9,1.6071428571428574,19.05421805991111,
Zip code,60652,60652,-87.71479500,41.74793200,16.4,0.7908163265306122,31.9,1.5816326530612252,21.753520659062502,
Zip code,60653,60653,-87.60596500,41.81996500,18.4,0.8673469387755107,33.2,1.5561224489795913,27.64581258424324,
Zip code,60654,60654,-87.63726800,41.89228200,13.5,0.7653061224489796,20.4,1.2244897959183667,81.40673957019231,
Zip code,60655,60655,-87.70377600,41.69477600,14.7,0.7653061224489796,22.5,1.2755102040816326,57.4989944658125,
Zip code,60656,60656,-87.82712800,41.97428000,14.5,0.739795918367347,24.2,1.326530612244898,60.82578783433333,
Zip code,60657,60657,-87.64685700,41.94029300,14.0,0.6887755102040819,20.1,1.1734693877551017,81.00470457511364,
Zip code,60659,60659,-87.70398600,41.99148800,14.9,0.7397959183673466,29.8,1.403061224489796,47.439054693885716,
Zip code,60660,60660,-87.66307600,41.99111000,15.1,0.7142857142857145,25.2,1.326530612244898,47.662820925111106,
Zip code,60661,60661,-87.64409900,41.88303000,13.2,0.7908163265306126,22.8,1.3520408163265307,72.945071499625,
Zip code,60707,60707,-87.80728200,41.92185300,14.8,0.739795918367347,26.3,1.3520408163265307,,
Zip code,60827,60827,-87.63357200,41.64943400,20.6,0.969387755102041,35.8,1.6836734693877555,,
