Layer,Name,GEOID,PMH_2023,PMH_2023_moe
Census tract,Tract 6505,17031650500,15.90,1.47
Census tract,Tract 6603.01,17031660301,18.70,1.76
Census tract,Tract 6603.02,17031660302,17.00,1.59
Census tract,Tract 6604,17031660400,17.40,1.76
Census tract,Tract 6605,17031660500,16.40,1.55
Census tract,Tract 6606,17031660600,18.50,1.72
Census tract,Tract 6607,17031660700,20.00,1.76
Census tract,Tract 6608,17031660800,19.70,1.76
Census tract,Tract 6609,17031660900,20.50,1.76
Census tract,Tract 6610,17031661000,19.10,1.55
Census tract,Tract 6611,17031661100,17.00,1.55
Census tract,Tract 6701,17031670100,22.50,1.93
Census tract,Tract 6702,17031670200,18.90,1.97
Census tract,Tract 6703,17031670300,20.70,1.89
Census tract,Tract 6704,17031670400,18.90,1.72
Census tract,Tract 6705,17031670500,21.00,1.85
Census tract,Tract 6706,17031670600,21.50,2.06
Census tract,Tract 6707,17031670700,24.10,2.06
Census tract,Tract 6708,17031670800,21.10,1.89
Census tract,Tract 6709,17031670900,18.50,1.85
Census tract,Tract 6711,17031671100,23.40,1.93
Census tract,Tract 6712,17031671200,22.90,2.14
Census tract,Tract 6713,17031671300,21.50,1.89
Census tract,Tract 6714,17031671400,21.00,1.72
Census tract,Tract 6715,17031671500,19.50,1.76
Census tract,Tract 6716,17031671600,19.10,1.72
Census tract,Tract 6718,17031671800,20.00,1.80
Census tract,Tract 6719,17031671900,18.10,1.64
Census tract,Tract 6720,17031672000,19.50,1.80
Census tract,Tract 6805,17031680500,21.60,1.93
Census tract,Tract 6806,17031680600,18.50,1.68
Census tract,Tract 6809,17031680900,22.50,2.06
Census tract,Tract 6810,17031681000,21.30,1.89
Census tract,Tract 6811,17031681100,21.10,2.06
Census tract,Tract 6812,17031681200,23.10,2.22
Census tract,Tract 6813,17031681300,23.10,2.10
Census tract,Tract 6814,17031681400,19.40,1.80
Census tract,Tract 6903,17031690300,17.50,1.76
Census tract,Tract 6904,17031690400,18.80,2.18
Census tract,Tract 6905,17031690500,21.00,1.89
Census tract,Tract 6909,17031690900,19.20,1.89
Census tract,Tract 6910,17031691000,16.40,1.80
Census tract,Tract 6911,17031691100,19.40,1.85
Census tract,Tract 6912,17031691200,20.00,2.06
Census tract,Tract 6913,17031691300,16.70,1.76
Census tract,Tract 6914,17031691400,20.30,1.97
Census tract,Tract 6915,17031691500,21.30,2.10
Census tract,Tract 7001,17031700100,17.60,1.51
Census tract,Tract 7002,17031700200,16.70,1.47
Census tract,Tract 7003.01,17031700301,16.00,1.55
Census tract,Tract 7003.02,17031700302,15.90,1.47
Census tract,Tract 7004.01,17031700401,16.50,1.59
Census tract,Tract 7004.02,17031700402,16.20,1.59
Census tract,Tract 7005.01,17031700501,17.20,1.72
Census tract,Tract 7005.02,17031700502,14.20,1.51
Census tract,Tract 7101,17031710100,18.70,1.80
Census tract,Tract 7102,17031710200,21.60,2.01
Census tract,Tract 7103,17031710300,18.80,1.80
Census tract,Tract 7104,17031710400,18.50,1.80
Census tract,Tract 7105,17031710500,19.40,2.01
Census tract,Tract 7106,17031710600,20.30,2.18
Census tract,Tract 7107,17031710700,18.10,1.76
Census tract,Tract 7108,17031710800,18.70,1.89
Census tract,Tract 7109,17031710900,19.20,2.01
Census tract,Tract 7110,17031711000,19.40,1.89
Census tract,Tract 7111,17031711100,16.20,1.68
Census tract,Tract 7112,17031711200,16.60,1.68
Census tract,Tract 7113,17031711300,17.80,1.72
Census tract,Tract 7114,17031711400,17.10,1.68
Census tract,Tract 7115,17031711500,19.10,1.85
Census tract,Tract 7201,17031720100,12.80,1.30
Census tract,Tract 7202,17031720200,13.50,1.30
Census tract,Tract 7203,17031720300,11.80,1.26
Census tract,Tract 7204,17031720400,15.10,1.76
Census tract,Tract 7205,17031720500,13.50,1.55
Census tract,Tract 7206,17031720600,12.10,1.38
Census tract,Tract 7207,17031720700,14.30,1.43
Census tract,Tract 7301,17031730100,17.00,1.97
Census tract,Tract 7302.01,17031730201,17.00,1.72
