Layer,Name,GEOID,SES_2023,SES_2023_moe
Census tract,Tract 1402,17031140200,29.20,2.90
Census tract,Tract 1403.01,17031140301,35.10,3.19
Census tract,Tract 1403.02,17031140302,29.00,2.81
Census tract,Tract 1404,17031140400,26.00,2.39
Census tract,Tract 1405,17031140500,28.30,2.64
Census tract,Tract 1406.01,17031140601,29.50,2.98
Census tract,Tract 1406.02,17031140602,28.00,2.85
Census tract,Tract 1407.01,17031140701,29.90,2.98
Census tract,Tract 1407.02,17031140702,28.00,2.98
Census tract,Tract 1408,17031140800,23.00,2.27
Census tract,Tract 1502,17031150200,25.10,2.48
Census tract,Tract 1503,17031150300,23.60,2.27
Census tract,Tract 1504.01,17031150401,25.10,2.35
Census tract,Tract 1504.02,17031150402,25.90,2.64
Census tract,Tract 1505.01,17031150501,22.80,2.18
Census tract,Tract 1505.02,17031150502,25.70,2.39
Census tract,Tract 1506,17031150600,25.00,2.52
Census tract,Tract 1507,17031150700,24.50,2.43
Census tract,Tract 1508,17031150800,27.00,2.85
Census tract,Tract 1510.01,17031151001,27.90,2.85
Census tract,Tract 1510.02,17031151002,27.80,2.73
Census tract,Tract 1511,17031151100,26.60,2.64
Census tract,Tract 1512,17031151200,26.40,2.69
Census tract,Tract 1601,17031160100,23.70,2.56
Census tract,Tract 1602,17031160200,22.30,2.14
Census tract,Tract 1603,17031160300,25.40,2.69
Census tract,Tract 1604,17031160400,26.10,2.56
Census tract,Tract 1605.01,17031160501,27.20,2.81
Census tract,Tract 1605.02,17031160502,27.20,2.81
Census tract,Tract 1606.01,17031160601,23.50,2.56
Census tract,Tract 1606.02,17031160602,24.80,2.69
Census tract,Tract 1607,17031160700,27.20,2.64
Census tract,Tract 1608,17031160800,28.00,2.85
Census tract,Tract 1609,17031160900,22.10,2.14
Census tract,Tract 1610,17031161000,21.90,2.52
Census tract,Tract 1611,17031161100,22.20,2.39
Census tract,Tract 1612,17031161200,26.50,2.69
Census tract,Tract 1613,17031161300,26.40,2.73
Census tract,Tract 1701,17031170100,24.10,2.39
Census tract,Tract 1702,17031170200,24.50,2.52
Census tract,Tract 1703,17031170300,26.00,2.56
Census tract,Tract 1704,17031170400,25.10,2.43
Census tract,Tract 1705,17031170500,24.50,2.35
Census tract,Tract 1706,17031170600,25.20,2.56
Census tract,Tract 1707,17031170700,26.80,2.69
Census tract,Tract 1708,17031170800,25.90,2.48
Census tract,Tract 1709,17031170900,26.10,2.48
Census tract,Tract 1710,17031171000,24.70,2.56
Census tract,Tract 1711,17031171100,28.60,2.64
Census tract,Tract 1801,17031180100,26.90,2.69
Census tract,Tract 1901,17031190100,30.40,3.11
Census tract,Tract 1902,17031190200,28.80,3.02
Census tract,Tract 1903,17031190300,28.70,2.85
Census tract,Tract 1904.01,17031190401,28.20,2.81
Census tract,Tract 1904.02,17031190402,30.20,3.06
Census tract,Tract 1906.01,17031190601,31.90,3.23
Census tract,Tract 1906.02,17031190602,29.50,3.06
Census tract,Tract 1907.01,17031190701,28.70,3.36
Census tract,Tract 1907.02,17031190702,32.10,3.23
Census tract,Tract 1908,17031190800,30.90,3.15
Census tract,Tract 1909,17031190900,27.90,3.23
Census tract,Tract 1910,17031191000,32.50,3.15
Census tract,Tract 1911,17031191100,31.70,3.36
Census tract,Tract 1912,17031191200,33.00,3.40
Census tract,Tract 1913.01,17031191301,32.10,3.06
Census tract,Tract 1913.02,17031191302,33.20,3.23
Census tract,Tract 2001,17031200100,28.10,3.11
Census tract,Tract 2002,17031200200,29.50,3.23
Census tract,Tract 2003,17031200300,27.70,3.19
Census tract,Tract 2004.01,17031200401,31.00,3.15
Census tract,Tract 2004.02,17031200402,30.90,3.40
Census tract,Tract 2101,17031210100,24.60,2.64
Census tract,Tract 2104,17031210400,29.20,2.90
Census tract,Tract 2105.01,17031210501,27.50,2.94
Census tract,Tract 2105.02,17031210502,27.40,2.69
Census tract,Tract 2106.01,17031210601,25.80,2.81
Census tract,Tract 2106.02,17031210602,27.30,2.94
Census tract,Tract 2107,17031210700,24.30,2.73
Census tract,Tract 2108,17031210800,26.40,2.73
Census tract,Tract 2109,17031210900,24.00,2.52
Census tract,Tract 2203,17031220300,21.70,2.69
Census tract,Tract 2204,17031220400,21.70,2.64
Census tract,Tract 2205,17031220500,21.60,2.60
