Layer,Name,GEOID,HDX_2019-2023,HDX_2019-2023_moe
Census tract,Tract 6913,17031691300,91.1,
Census tract,Tract 6914,17031691400,92.9,
Census tract,Tract 6915,17031691500,97.7,
Census tract,Tract 7001,17031700100,71.4,
Census tract,Tract 7002,17031700200,90.6,
Census tract,Tract 7003.01,17031700301,83.7,
Census tract,Tract 7003.02,17031700302,82.0,
Census tract,Tract 7004.01,17031700401,67.7,
Census tract,Tract 7004.02,17031700402,52.5,
Census tract,Tract 7005.01,17031700501,77.8,
Census tract,Tract 7005.02,17031700502,61.4,
Census tract,Tract 7101,17031710100,95.9,
Census tract,Tract 7102,17031710200,95.9,
Census tract,Tract 7103,17031710300,56.1,
Census tract,Tract 7104,17031710400,96.8,
Census tract,Tract 7105,17031710500,88.6,
Census tract,Tract 7106,17031710600,80.3,
Census tract,Tract 7107,17031710700,93.1,
Census tract,Tract 7108,17031710800,91.8,
Census tract,Tract 7109,17031710900,92.5,
Census tract,Tract 7110,17031711000,93.8,
Census tract,Tract 7111,17031711100,91.8,
Census tract,Tract 7112,17031711200,78.2,
Census tract,Tract 7113,17031711300,82.3,
Census tract,Tract 7114,17031711400,81.0,
Census tract,Tract 7115,17031711500,74.2,
Census tract,Tract 7201,17031720100,52.0,
Census tract,Tract 7202,17031720200,28.0,
Census tract,Tract 7203,17031720300,15.9,
Census tract,Tract 7204,17031720400,7.7,
Census tract,Tract 7205,17031720500,8.8,
Census tract,Tract 7206,17031720600,25.8,
Census tract,Tract 7207,17031720700,28.0,
Census tract,Tract 7301,17031730100,84.0,
Census tract,Tract 7302.01,17031730201,54.9,
Census tract,Tract 7302.02,17031730202,64.6,
Census tract,Tract 7303,17031730300,89.5,
Census tract,Tract 7304,17031730400,56.4,
Census tract,Tract 7305,17031730500,72.5,
Census tract,Tract 7306,17031730600,67.5,
Census tract,Tract 7307,17031730700,75.5,
Census tract,Tract 7401,17031740100,24.9,
Census tract,Tract 7402,17031740200,28.9,
Census tract,Tract 7403,17031740300,28.9,
Census tract,Tract 7404,17031740400,15.4,
Census tract,Tract 7501,17031750100,73.7,
Census tract,Tract 7502,17031750200,47.2,
Census tract,Tract 7503,17031750300,20.9,
Census tract,Tract 7504,17031750400,11.0,
Census tract,Tract 7505,17031750500,67.3,
Census tract,Tract 7506,17031750600,80.0,
Census tract,Tract 7608.01,17031760801,53.4,
Census tract,Tract 7608.02,17031760802,27.4,
Census tract,Tract 7608.03,17031760803,23.4,
Census tract,Tract 7705,17031770500,95.0,
Census tract,Tract 7706.02,17031770602,83.5,
Census tract,Tract 7707,17031770700,50.5,
Census tract,Tract 7708,17031770800,74.3,
Census tract,Tract 7709.01,17031770901,44.5,
Census tract,Tract 7709.02,17031770902,62.5,
Census tract,Tract 8104,17031810400,14.8,
Census tract,Tract 8105.01,17031810501,43.9,
Census tract,Tract 8105.02,17031810502,64.3,
Census tract,Tract 8106,17031810600,61.4,
Census tract,Tract 8233.04,17031823304,67.3,
Census tract,Tract 8305,17031830500,94.5,
Census tract,Tract 8306,17031830600,65.7,
Census tract,Tract 8307,17031830700,52.4,
Census tract,Tract 8308,17031830800,5.5,
Census tract,Tract 8309,17031830900,3.7,
Census tract,Tract 8310,17031831000,0.6,
Census tract,Tract 8311,17031831100,33.5,
Census tract,Tract 8312,17031831200,83.5,
Census tract,Tract 8313,17031831300,97.1,
Census tract,Tract 8314,17031831400,89.6,
Census tract,Tract 8315,17031831500,74.3,
Census tract,Tract 8316,17031831600,72.3,
Census tract,Tract 8317,17031831700,55.4,
Census tract,Tract 8318,17031831800,65.0,
Census tract,Tract 8319,17031831900,1.9,
Census tract,Tract 8320,17031832000,0.7,
Census tract,Tract 8321,17031832100,25.6,
Census tract,Tract 8322,17031832200,0.6,
Census tract,Tract 8323,17031832300,1.1,
Census tract,Tract 8324,17031832400,4.9,
Census tract,Tract 8325,17031832500,5.2,
Census tract,Tract 8326,17031832600,0.3,
Census tract,Tract 8329,17031832900,42.5,
Census tract,Tract 8330,17031833000,1.0,
Census tract,Tract 8331,17031833100,0.5,
Census tract,Tract 8333,17031833300,37.6,
Census tract,Tract 8339,17031833900,98.4,
Census tract,Tract 8340,17031834000,93.7,
Census tract,Tract 8342,17031834200,65.6,
Census tract,Tract 8343,17031834300,77.5,
Census tract,Tract 8344,17031834400,69.9,
Census tract,Tract 8345,17031834500,92.2,
Census tract,Tract 8346,17031834600,96.1,
Census tract,Tract 8347,17031834700,93.2,
Census tract,Tract 8348,17031834800,95.7,
Census tract,Tract 8349,17031834900,99.6,
Census tract,Tract 8350,17031835000,87.9,
Census tract,Tract 8351,17031835100,88.6,
Census tract,Tract 8352,17031835200,71.1,
Census tract,Tract 8355,17031835500,98.2,
Census tract,Tract 8356,17031835600,98.7,
Census tract,Tract 8358,17031835800,64.6,
Census tract,Tract 8360,17031836000,74.3,
Census tract,Tract 8361,17031836100,95.5,
Census tract,Tract 8362,17031836200,35.0,
Census tract,Tract 8363,17031836300,68.4,
Census tract,Tract 8364,17031836400,76.3,
Census tract,Tract 8365,17031836500,72.3,
Census tract,Tract 8366,17031836600,43.4,
Census tract,Tract 8367,17031836700,76.8,
Census tract,Tract 8368,17031836800,97.2,
Census tract,Tract 8369,17031836900,97.1,
Census tract,Tract 8370,17031837000,90.8,
Census tract,Tract 8371,17031837100,86.4,
Census tract,Tract 8373,17031837300,90.1,
Census tract,Tract 8374,17031837400,91.9,
Census tract,Tract 8378,17031837800,76.5,
Census tract,Tract 8380,17031838000,92.4,
Census tract,Tract 8381,17031838100,75.7,
Census tract,Tract 8382,17031838200,24.2,
Census tract,Tract 8383,17031838300,8.9,
Census tract,Tract 8386,17031838600,97.4,
Census tract,Tract 8387,17031838700,94.0,
Census tract,Tract 8388,17031838800,96.4,
Census tract,Tract 8390,17031839000,47.3,
Census tract,Tract 8391,17031839100,0.7,
Census tract,Tract 8392,17031839200,77.0,
Census tract,Tract 8395,17031839500,74.7,
Census tract,Tract 8396,17031839600,88.3,
Census tract,Tract 8397,17031839700,25.5,
Census tract,Tract 8398,17031839800,51.8,
Census tract,Tract 8399,17031839900,21.4,
Census tract,Tract 8400,17031840000,77.4,
Census tract,Tract 8401,17031840100,78.9,
Census tract,Tract 8402,17031840200,88.6,
Census tract,Tract 8403,17031840300,87.0,
Census tract,Tract 8404,17031840400,65.9,
Census tract,Tract 8407,17031840700,54.3,
Census tract,Tract 8408,17031840800,92.5,
Census tract,Tract 8410,17031841000,16.5,
Census tract,Tract 8411,17031841100,90.2,
Census tract,Tract 8412,17031841200,86.1,
Census tract,Tract 8413,17031841300,60.2,
Census tract,Tract 8415,17031841500,98.8,
Census tract,Tract 8417,17031841700,63.8,
Census tract,Tract 8418,17031841800,88.0,
Census tract,Tract 8419,17031841900,36.5,
Census tract,Tract 8420,17031842000,82.7,
Census tract,Tract 8421,17031842100,91.3,
Census tract,Tract 8422,17031842200,0.8,
Census tract,Tract 8423,17031842300,2.8,
Census tract,Tract 8424,17031842400,25.1,
Census tract,Tract 8425,17031842500,92.6,
Census tract,Tract 8426,17031842600,50.6,
Census tract,Tract 8428,17031842800,86.1,
Census tract,Tract 8429,17031842900,90.8,
Census tract,Tract 8430,17031843000,91.0,
Census tract,Tract 8431,17031843100,67.9,
Census tract,Tract 8432,17031843200,40.5,
Census tract,Tract 8433,17031843300,96.0,
Census tract,Tract 8434,17031843400,81.9,
Census tract,Tract 8435,17031843500,85.1,
Census tract,Tract 8436,17031843600,53.3,
Census tract,Tract 8437,17031843700,4.3,
Census tract,Tract 8438,17031843800,83.3,
Census tract,Tract 8439,17031843900,75.9,
Census tract,Tract 8446,17031844600,93.1,
Census tract,Tract 8447,17031844700,78.3,
Census tract,Tract 9800,17031980000,58.2,
Census tract,Tract 9801,17031980100,58.2,
Census tract,Tract 8400,17043840000,81.5,
Census tract,Tract 8408.01,17043840801,60.5,
