Layer,Name,GEOID,CHACFZN_2023,CHACFZN_2023_moe
Census tract,Tract 1913.02,17031191302,11,
Census tract,Tract 2001,17031200100,20,
Census tract,Tract 2002,17031200200,16,
Census tract,Tract 2003,17031200300,21,
Census tract,Tract 2004.01,17031200401,16,
Census tract,Tract 2004.02,17031200402,26,
Census tract,Tract 2101,17031210100,68,
Census tract,Tract 2104,17031210400,19,
Census tract,Tract 2105.01,17031210501,23,
Census tract,Tract 2105.02,17031210502,23,
Census tract,Tract 2106.01,17031210601,47,
Census tract,Tract 2106.02,17031210602,36,
Census tract,Tract 2107,17031210700,47,
Census tract,Tract 2108,17031210800,43,
Census tract,Tract 2109,17031210900,63,
Census tract,Tract 2203,17031220300,68,
Census tract,Tract 2204,17031220400,68,
Census tract,Tract 2205,17031220500,61,
Census tract,Tract 2206.01,17031220601,64,
Census tract,Tract 2206.02,17031220602,43,
Census tract,Tract 2207.01,17031220701,40,
Census tract,Tract 2207.02,17031220702,34,
Census tract,Tract 2209.01,17031220901,21,
Census tract,Tract 2209.02,17031220902,32,
Census tract,Tract 2210,17031221000,29,
Census tract,Tract 2211,17031221100,46,
Census tract,Tract 2212,17031221200,59,
Census tract,Tract 2213,17031221300,46,
Census tract,Tract 2214,17031221400,59,
Census tract,Tract 2215,17031221500,47,
Census tract,Tract 2216,17031221600,74,
Census tract,Tract 2222,17031222200,88,
Census tract,Tract 2225,17031222500,67,
Census tract,Tract 2226,17031222600,48,
Census tract,Tract 2227,17031222700,31,
Census tract,Tract 2228,17031222800,19,
Census tract,Tract 2229,17031222900,29,
Census tract,Tract 2301,17031230100,41,
Census tract,Tract 2302,17031230200,38,
Census tract,Tract 2303,17031230300,20,
Census tract,Tract 2304,17031230400,27,
Census tract,Tract 2305,17031230500,8,
Census tract,Tract 2306,17031230600,6,
Census tract,Tract 2307,17031230700,8,
Census tract,Tract 2308,17031230800,37,
Census tract,Tract 2309,17031230900,34,
Census tract,Tract 2311,17031231100,14,
Census tract,Tract 2312,17031231200,3,
Census tract,Tract 2315,17031231500,4,
Census tract,Tract 2402,17031240200,85,
Census tract,Tract 2403,17031240300,92,
Census tract,Tract 2405,17031240500,92,
Census tract,Tract 2406,17031240600,77,
Census tract,Tract 2407,17031240700,58,
Census tract,Tract 2408,17031240800,53,
Census tract,Tract 2409,17031240900,46,
Census tract,Tract 2410,17031241000,38,
Census tract,Tract 2411,17031241100,44,
Census tract,Tract 2412,17031241200,74,
Census tract,Tract 2413,17031241300,79,
Census tract,Tract 2414,17031241400,89,
Census tract,Tract 2415,17031241500,84,
Census tract,Tract 2416,17031241600,74,
Census tract,Tract 2420,17031242000,83,
Census tract,Tract 2421,17031242100,91,
Census tract,Tract 2422,17031242200,93,
Census tract,Tract 2423,17031242300,73,
Census tract,Tract 2424,17031242400,64,
Census tract,Tract 2425,17031242500,50,
Census tract,Tract 2426,17031242600,43,
Census tract,Tract 2427,17031242700,38,
Census tract,Tract 2428,17031242800,67,
Census tract,Tract 2429,17031242900,71,
Census tract,Tract 2430,17031243000,71,
Census tract,Tract 2431,17031243100,75,
Census tract,Tract 2432,17031243200,88,
Census tract,Tract 2433,17031243300,65,
Census tract,Tract 2434,17031243400,69,
Census tract,Tract 2435,17031243500,93,
Census tract,Tract 2502,17031250200,13,
Census tract,Tract 2503,17031250300,13,
Census tract,Tract 2504,17031250400,17,
Census tract,Tract 2505,17031250500,49,
Census tract,Tract 2506,17031250600,17,
Census tract,Tract 2507,17031250700,3,
Census tract,Tract 2508,17031250800,13,
Census tract,Tract 2510,17031251000,4,
Census tract,Tract 2511,17031251100,6,
Census tract,Tract 2512,17031251200,9,
Census tract,Tract 2513,17031251300,10,
Census tract,Tract 2514,17031251400,7,
Census tract,Tract 2515,17031251500,10,
Census tract,Tract 2516,17031251600,4,
Census tract,Tract 2517,17031251700,14,
Census tract,Tract 2518,17031251800,2,
Census tract,Tract 2519,17031251900,4,
Census tract,Tract 2520,17031252000,5,
Census tract,Tract 2521.01,17031252101,9,
Census tract,Tract 2521.02,17031252102,5,
Census tract,Tract 2522.01,17031252201,7,
Census tract,Tract 2522.02,17031252202,8,
Census tract,Tract 2601,17031260100,1,
Census tract,Tract 2602,17031260200,5,
Census tract,Tract 2603,17031260300,1,
Census tract,Tract 2604,17031260400,1,
Census tract,Tract 2605,17031260500,7,
Census tract,Tract 2606,17031260600,2,
Census tract,Tract 2607,17031260700,7,
Census tract,Tract 2608,17031260800,1,
Census tract,Tract 2609,17031260900,1,
Census tract,Tract 2610,17031261000,11,
Census tract,Tract 2705,17031270500,3,
Census tract,Tract 2712,17031271200,12,
Census tract,Tract 2713,17031271300,15,
Census tract,Tract 2714,17031271400,9,
Census tract,Tract 2715,17031271500,10,
Census tract,Tract 2718,17031271800,18,
Census tract,Tract 2801,17031280100,97,
Census tract,Tract 2804,17031280400,18,
Census tract,Tract 2808,17031280800,17,
Census tract,Tract 2809,17031280900,33,
Census tract,Tract 2819,17031281900,91,
Census tract,Tract 2827,17031282700,46,
Census tract,Tract 2828,17031282800,36,
Census tract,Tract 2831,17031283100,63,
Census tract,Tract 2832,17031283200,59,
Census tract,Tract 2838,17031283800,47,
Census tract,Tract 2909,17031290900,2,
Census tract,Tract 2912,17031291200,3,
Census tract,Tract 2916,17031291600,31,
Census tract,Tract 2922,17031292200,4,
Census tract,Tract 2924,17031292400,1,
Census tract,Tract 2925,17031292500,5,
Census tract,Tract 3005,17031300500,9,
Census tract,Tract 3006,17031300600,6,
Census tract,Tract 3007,17031300700,10,
Census tract,Tract 3008,17031300800,1,
Census tract,Tract 3009,17031300900,5,
Census tract,Tract 3011,17031301100,7,
Census tract,Tract 3012,17031301200,10,
Census tract,Tract 3016,17031301600,6,
Census tract,Tract 3017.01,17031301701,10,
Census tract,Tract 3017.02,17031301702,10,
Census tract,Tract 3018.01,17031301801,11,
Census tract,Tract 3018.02,17031301802,17,
Census tract,Tract 3018.03,17031301803,13,
Census tract,Tract 3102,17031310200,81,
Census tract,Tract 3103,17031310300,41,
Census tract,Tract 3104,17031310400,43,
Census tract,Tract 3105,17031310500,25,
Census tract,Tract 3106,17031310600,34,
Census tract,Tract 3107,17031310700,22,
Census tract,Tract 3108,17031310800,34,
Census tract,Tract 3109,17031310900,28,
Census tract,Tract 3201.01,17031320101,93,
Census tract,Tract 3201.02,17031320102,75,
Census tract,Tract 3204,17031320400,81,
Census tract,Tract 3206,17031320600,92,
Census tract,Tract 3301.01,17031330101,98,
Census tract,Tract 3301.02,17031330102,85,
Census tract,Tract 3301.03,17031330103,87,
Census tract,Tract 3302,17031330200,84,
Census tract,Tract 3403,17031340300,46,
Census tract,Tract 3404,17031340400,34,
Census tract,Tract 3405,17031340500,46,
Census tract,Tract 3406,17031340600,7,
Census tract,Tract 3501,17031350100,36,
Census tract,Tract 3504,17031350400,11,
Census tract,Tract 3510,17031351000,40,
Census tract,Tract 3511,17031351100,9,
Census tract,Tract 3514,17031351400,3,
Census tract,Tract 3515,17031351500,23,
Census tract,Tract 3602,17031360200,12,
Census tract,Tract 3801,17031380100,27,
Census tract,Tract 3802,17031380200,16,
Census tract,Tract 3806,17031380600,18,
Census tract,Tract 3812,17031381200,28,
Census tract,Tract 3814,17031381400,10,
Census tract,Tract 3815,17031381500,13,
Census tract,Tract 3817,17031381700,32,
Census tract,Tract 3818,17031381800,25,
Census tract,Tract 3819,17031381900,28,
Census tract,Tract 3901,17031390100,40,
Census tract,Tract 3902,17031390200,59,
Census tract,Tract 3903,17031390300,10,
Census tract,Tract 3904,17031390400,24,
Census tract,Tract 3905,17031390500,56,
Census tract,Tract 3906,17031390600,49,
Census tract,Tract 3907,17031390700,52,
Census tract,Tract 4003,17031400300,18,
Census tract,Tract 4004,17031400400,13,
Census tract,Tract 4005,17031400500,10,
Census tract,Tract 4008,17031400800,5,
Census tract,Tract 4101,17031410100,43,
Census tract,Tract 4102,17031410200,54,
Census tract,Tract 4105,17031410500,40,
Census tract,Tract 4106,17031410600,43,
Census tract,Tract 4107,17031410700,50,
Census tract,Tract 4108,17031410800,54,
Census tract,Tract 4109,17031410900,67,
Census tract,Tract 4110,17031411000,48,
Census tract,Tract 4111,17031411100,78,
Census tract,Tract 4112,17031411200,80,
Census tract,Tract 4201,17031420100,14,
Census tract,Tract 4202,17031420200,19,
Census tract,Tract 4203,17031420300,25,
Census tract,Tract 4204,17031420400,19,
Census tract,Tract 4205,17031420500,4,
Census tract,Tract 4206,17031420600,7,
Census tract,Tract 4207,17031420700,3,
Census tract,Tract 4208,17031420800,12,
Census tract,Tract 4212,17031421200,4,
Census tract,Tract 4301.01,17031430101,9,
Census tract,Tract 4301.02,17031430102,12,
Census tract,Tract 4302,17031430200,18,
Census tract,Tract 4303,17031430300,14,
Census tract,Tract 4304,17031430400,7,
Census tract,Tract 4305,17031430500,5,
Census tract,Tract 4306,17031430600,13,
Census tract,Tract 4307,17031430700,12,
Census tract,Tract 4308,17031430800,25,
Census tract,Tract 4309,17031430900,13,
Census tract,Tract 4312,17031431200,24,
Census tract,Tract 4313.01,17031431301,2,
Census tract,Tract 4313.02,17031431302,2,
Census tract,Tract 4314,17031431400,7,
Census tract,Tract 4401.01,17031440101,2,
Census tract,Tract 4401.02,17031440102,7,
Census tract,Tract 4402.01,17031440201,9,
Census tract,Tract 4402.02,17031440202,18,
Census tract,Tract 4403,17031440300,35,
Census tract,Tract 4406,17031440600,21,
Census tract,Tract 4407,17031440700,23,
Census tract,Tract 4408,17031440800,3,
Census tract,Tract 4409,17031440900,18,
Census tract,Tract 4503,17031450300,16,
