Layer,Name,GEOID,Population,POP_2020-2024_moe
Census tract,Tract 2511,17031251100,"4,521",699
Census tract,Tract 2512,17031251200,"4,314","1,274"
Census tract,Tract 2513,17031251300,"4,515",813
Census tract,Tract 2514,17031251400,"3,170",571
Census tract,Tract 2515,17031251500,"4,489","1,229"
Census tract,Tract 2516,17031251600,"3,983","1,121"
Census tract,Tract 2517,17031251700,"1,368",345
Census tract,Tract 2518,17031251800,"4,532",989
Census tract,Tract 2519,17031251900,"5,519","1,076"
Census tract,Tract 2520,17031252000,"5,643",882
Census tract,Tract 2521.01,17031252101,"1,801",326
Census tract,Tract 2521.02,17031252102,"5,766","1,155"
Census tract,Tract 2522.01,17031252201,"3,128",641
Census tract,Tract 2522.02,17031252202,"5,129","1,104"
Census tract,Tract 2601,17031260100,"1,106",295
Census tract,Tract 2602,17031260200,"1,209",372
Census tract,Tract 2603,17031260300,"1,429",498
Census tract,Tract 2604,17031260400,"1,511",267
Census tract,Tract 2605,17031260500,"1,985",288
Census tract,Tract 2606,17031260600,"1,793",427
Census tract,Tract 2607,17031260700,"1,198",373
Census tract,Tract 2608,17031260800,"1,719",543
Census tract,Tract 2609,17031260900,"1,174",240
Census tract,Tract 2610,17031261000,"1,972",545
Census tract,Tract 2705,17031270500,"1,426",223
Census tract,Tract 2712,17031271200,"1,299",411
Census tract,Tract 2713,17031271300,953,241
Census tract,Tract 2714,17031271400,"1,508",298
Census tract,Tract 2715,17031271500,"1,469",294
Census tract,Tract 2718,17031271800,"1,006",292
Census tract,Tract 2801,17031280100,"7,742",737
Census tract,Tract 2804,17031280400,"1,508",271
Census tract,Tract 2808,17031280800,869,120
Census tract,Tract 2809,17031280900,"1,253",389
Census tract,Tract 2819,17031281900,"6,907",732
Census tract,Tract 2827,17031282700,"2,239",386
Census tract,Tract 2828,17031282800,"1,727",535
Census tract,Tract 2831,17031283100,"2,560",511
Census tract,Tract 2832,17031283200,"1,687",214
Census tract,Tract 2838,17031283800,"3,515",570
Census tract,Tract 2909,17031290900,"4,870",991
Census tract,Tract 2912,17031291200,"2,225",583
Census tract,Tract 2916,17031291600,"1,506",916
Census tract,Tract 2922,17031292200,"2,658",643
Census tract,Tract 2924,17031292400,"1,916",474
Census tract,Tract 2925,17031292500,"3,310",778
Census tract,Tract 3005,17031300500,"3,355",619
Census tract,Tract 3006,17031300600,"3,260",646
Census tract,Tract 3007,17031300700,"4,329","1,018"
Census tract,Tract 3008,17031300800,"3,764",953
Census tract,Tract 3009,17031300900,"4,267","1,302"
Census tract,Tract 3011,17031301100,"2,403",616
Census tract,Tract 3012,17031301200,"4,087",839
Census tract,Tract 3016,17031301600,"4,228",811
Census tract,Tract 3017.01,17031301701,"4,496",837
Census tract,Tract 3017.02,17031301702,"3,801",734
Census tract,Tract 3018.01,17031301801,"4,714","1,597"
Census tract,Tract 3018.02,17031301802,"2,513",381
Census tract,Tract 3018.03,17031301803,"3,183",533
Census tract,Tract 3102,17031310200,"1,508",257
Census tract,Tract 3103,17031310300,"1,560",402
Census tract,Tract 3104,17031310400,"1,447",217
Census tract,Tract 3105,17031310500,"1,356",306
Census tract,Tract 3106,17031310600,"5,872",627
Census tract,Tract 3107,17031310700,"1,583",373
Census tract,Tract 3108,17031310800,"4,013",595
Census tract,Tract 3109,17031310900,"4,998",733
Census tract,Tract 3201.01,17031320101,"8,972","1,366"
Census tract,Tract 3201.02,17031320102,"5,040",543
Census tract,Tract 3204,17031320400,"3,530",337
Census tract,Tract 3206,17031320600,"6,262",575
Census tract,Tract 3301.01,17031330101,"4,821","1,078"
Census tract,Tract 3301.02,17031330102,"11,992","2,019"
Census tract,Tract 3301.03,17031330103,"8,408",898
Census tract,Tract 3302,17031330200,"3,981",571
